Product Name,Price,Speed
ESSENCORE KLEVV DDR4-3200 CL22 파인인포,"73,310",3200MHz (PC4-25600)
삼성전자 DDR4-3200,"92,230",3200MHz (PC4-25600)
삼성전자 DDR4-2666,"43,090",2666MHz (PC4-21300)
ESSENCORE KLEVV DDR4-3600 CL18 BOLT XR 패키지 서린,"98,990",3600MHz (PC4-28800)
G.SKILL DDR4-3600 CL18 TRIDENT Z RGB 패키지,"222,220",3600MHz (PC4-28800)
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 화이트 패키지 서린,"240,000",3600MHz (PC4-28800)
마이크론 Crucial DDR4-3200 CL22 대원씨티에스,"42,060",3200MHz (PC4-25600)
마이크론 Crucial DDR4-3200 CL22,"82,440",3200MHz (PC4-25600)
ESSENCORE KLEVV DDR4-3200 CL16 BOLT X 서린,"44,890",3200MHz (PC4-25600)
G.SKILL DDR4-3600 CL16 TRIDENT Z NEO C 패키지,"141,400",3600MHz (PC4-28800)
GeIL DDR4-2666 CL19 PRISTINE,"37,990",2666MHz (PC4-21300)
TeamGroup T-CREATE DDR4-3600 CL18 EXPERT OC10L 패키지 서린,"207,990",3600MHz (PC4-28800)
G.SKILL DDR4-4000 CL18 TRIDENT Z ROYAL 실버 패키지,"168,990",4000MHz (PC4-32000)
ESSENCORE KLEVV DDR4-3600 CL18 BOLT X 서린,"50,490",3600MHz (PC4-28800)
G.SKILL DDR4-3200 CL16 TRIDENT Z RGB 패키지,"230,000",3200MHz (PC4-25600)
ADATA DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지,"107,020",3200MHz (PC4-25600)
G.SKILL DDR4-3200 CL14 RIPJAWS V VK 패키지,"169,000",3200MHz (PC4-25600)
TeamGroup DDR4-3200 Elite 서린,"37,990",3200MHz (PC4-25600)
G.SKILL DDR4-4000 CL18 TRIDENT Z RGB 패키지,"139,000",4000MHz (PC4-32000)
G.SKILL DDR4-3600 CL14 TRIDENT Z NEO NA 패키지,"119,000",3600MHz (PC4-28800)
삼성전자 DDR4-2666 중고,"94,900",2666MHz (PC4-21300)
G.SKILL DDR4-3600 CL18 TRIDENT Z NEO 패키지,"463,000",3600MHz (PC4-28800)
G.SKILL DDR4-3600 CL18 TRIDENT Z ROYAL 실버 패키지,"260,000",3600MHz (PC4-28800)
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 패키지 서린,"240,000",3600MHz (PC4-28800)
G.SKILL DDR4-3200 CL16 TRIDENT Z NEO 패키지,"459,000",3200MHz (PC4-25600)
G.SKILL DDR4-3200 CL16 RIPJAWS V VK 패키지,"392,000",3200MHz (PC4-25600)
G.SKILL DDR4-3200 CL16 RIPJAWS V VK,"98,000",3200MHz (PC4-25600)
G.SKILL DDR4-3200 CL14 TRIDENT Z 패키지,"179,000",3200MHz (PC4-25600)
GeIL DDR4-3200 CL22 PRISTINE,"36,860",3200MHz (PC4-25600)
G.SKILL DDR4-2666 CL19 AEGIS,"39,000",2666MHz (PC4-21300)
